period,visits,users,meaningful_rate,product_rate,catalog_to_product_rate,intent_visits,intent_rate
Волна 1 · январь–февраль,22405,19459,0.10336978353046195,0.0884177638919884,0.04105359641082541,259,0.011559919660790003
Органика · март,1133,870,0.5136804942630185,0.42188879082082964,0.3074433656957929,6,0.00529567519858782
Волна 2 · апрель,33630,24715,0.08340767172167707,0.07368421052631578,0.043485042268459305,235,0.006987808504311626
Разрыв данных · апрель–июнь,26,11,0.11538461538461539,0.11538461538461539,0.0,0,0.0
Низкий объём · июнь–июль,808,579,0.6002475247524752,0.42574257425742573,0.30327868852459017,13,0.01608910891089109
