route,visits
one_click → service → one_click → shopify_external → service → home,1
product → one_click → product → catalog → product → catalog → product → catalog → …,1
home → product → catalog → product → catalog → home,1
product → other → product → catalog → other → catalog → product → catalog → …,1
home → product → catalog → service → catalog → other → service → catalog → …,1
catalog → product → catalog → shopify_external,1
catalog → product → catalog → product → service → catalog → product → catalog → …,1
catalog → product → home → catalog → service → whatsapp,1
home → other → home,1
product → home → product → home → catalog → instagram,1
catalog → service → whatsapp,1
home → catalog → product → other,1
service → other → catalog → home,1
catalog → product → catalog → product → whatsapp,1
home → catalog → product → catalog → product → catalog → product → other → …,1
home → product → catalog → home → catalog,1
catalog → home → instagram → catalog → home → catalog → product → catalog → …,1
catalog → one_click → home → catalog → product → home → product,1
catalog → one_click → catalog → product → catalog → product,1
catalog → product → catalog → product → instagram → catalog,1
one_click → catalog,1
catalog → one_click → product → one_click → catalog → one_click → whatsapp,1
catalog → product → instagram → catalog → product → catalog → product → catalog → …,1
catalog → one_click → cart,1
catalog → product → catalog → product → catalog → product → other,1
product → catalog → product → catalog → product → catalog → product,1
product → other → home,1
cart → shopify_external → cart,1
catalog → product → catalog → product → other,1
catalog → whatsapp → catalog,1
catalog → home → catalog → home → catalog,1
catalog → home → instagram,1
cart → home,1
catalog → one_click → catalog → product → catalog,1
catalog → whatsapp → catalog → product → catalog,1
catalog → product → shopify_external → home → instagram → product,1
catalog → product → home → catalog → product → catalog,1
home → catalog → product → service → other,1
home → one_click → catalog → product → service → catalog → product → catalog → …,1
catalog → product → catalog → whatsapp,1
catalog → product → 404,1
home → shopify_external,1
catalog → home → catalog → service → catalog → service → catalog,1
home → instagram → home → service → home → service → home → catalog → …,1
catalog → product → cart → service → thank_you → one_click → cart → catalog → …,1
home → catalog → home → catalog → product → catalog → product → catalog → …,1
catalog → product → service → catalog → product → catalog → product → catalog → …,1
home → catalog → product → home → catalog → product → catalog → product → …,1
catalog → cart → catalog → product → catalog,1
home → catalog → product → home → service,1
product → catalog → service,1
catalog → product → catalog → whatsapp → service,1
home → instagram → catalog → product → instagram,1
home → instagram → catalog → product → home,1
home → service → instagram,1
product → one_click → service → catalog → product,1
catalog → product → catalog → product → service → thank_you → instagram,1
catalog → one_click → catalog → one_click,1
cart → home → catalog → product → one_click → product,1
home → product → home → catalog → whatsapp → catalog → product → catalog → …,1
product → home → product → service → other → service → home → shopify_external → …,1
home → catalog → service → catalog,1
home → one_click → product,1
home → catalog → product → instagram → catalog → product,1
catalog → home → instagram → home,1
product → home → product → catalog → product,1
product → catalog → home,1
catalog → product → other → catalog → product → catalog → shopify_external → catalog → …,1
catalog → product → home → product → home → catalog → product,1
catalog → other → whatsapp → catalog → one_click → instagram → catalog → product → …,1
catalog → one_click → home,1
catalog → product → catalog → product → catalog → product → catalog → instagram → …,1
catalog → product → catalog → cart → catalog → product,1
catalog → cart → instagram → catalog → instagram → catalog → home → catalog → …,1
product → catalog → one_click → product,1
404 → product,1
catalog → product → cart → product → catalog,1
product → catalog → one_click → catalog → product → catalog → product → catalog → …,1
cart → catalog → product → catalog,1
product → catalog → cart → catalog,1
catalog → shopify_external → catalog → product,1
product → catalog → product → home → product,1
catalog → product → home → cart,1
catalog → home → instagram → home → product → home → product → home → …,1
catalog → product → cart,1
catalog → other → home → instagram,1
catalog → product → home → product → home → catalog,1
home → catalog → product → catalog → home → product,1
other → catalog → product,1
product → service → catalog → product → catalog → product,1
catalog → other → home → other,1
product → catalog → product → catalog → product → whatsapp,1
catalog → cart → other → catalog → product,1
product → catalog → product → catalog → product → catalog,1
home → catalog → product → home → catalog → home → catalog → product → …,1
home → shopify_external → home,1
catalog → shopify_external → product → catalog,1
catalog → product → home → product → catalog → product,1
cart → other,1
home → catalog → product → other → service → catalog → home,1
catalog → product → catalog → cart,1
home → product → service → other → product → home → catalog → service → …,1
catalog → other → catalog → product → catalog,1
cart → catalog → other,1
404 → catalog → home,1
home → catalog → product → one_click,1
home → instagram → home → instagram → home → instagram → home → catalog → …,1
home → product → other → product → instagram,1
product → other → noon,1
home → service → catalog → other,1
home → catalog → product → home → catalog → product → home,1
home → catalog → product → catalog → product → catalog → product → one_click → …,1
home → catalog → product → home → product → noon,1
home → catalog → product → home → catalog → product → catalog,1
service → thank_you → other → whatsapp → other → instagram → whatsapp,1
home → service → home → catalog → product → catalog,1
home → catalog → home → catalog → instagram,1
home → service → catalog → product → catalog → home → service → home,1
catalog → service → other,1
service → catalog → product → catalog → product → catalog → product → catalog → …,1
home → catalog → home → instagram,1
cart → catalog → product,1
home → service → thank_you → home → catalog → one_click → thank_you → home,1
service → other → catalog → other → catalog → one_click → other → thank_you → …,1
service → home → catalog → one_click → thank_you → service → thank_you → home → …,1
product → home → catalog → product → catalog,1
home → catalog → home → catalog → home → service → other → catalog → …,1
product → catalog → product → catalog → product → service → catalog → product → …,1
product → catalog → product → service → catalog → product,1
catalog → product → catalog → home → catalog,1
catalog → one_click → cart → catalog → home → catalog → product → catalog,1
catalog → instagram → catalog → product,1
catalog → product → cart → catalog,1
catalog → one_click → product,1
catalog → one_click → shopify_external,1
product → cart,1
catalog → one_click → catalog → other → catalog,1
home → catalog → product → catalog → home → instagram → catalog → product,1
home → product → other → catalog,1
home → instagram → product → catalog → product → home,1
catalog → product → service → home → catalog → product → catalog → home,1
home → whatsapp → service → other → whatsapp,1
product → catalog → home → catalog → product,1
catalog → service → catalog → product,1
home → instagram → home → instagram → product,1
home → product → add_to_cart → product,1
home → other → catalog → product,1
home → catalog → home → catalog → product → catalog → product → catalog,1
home → instagram → home → other,1
catalog → product → catalog → home → catalog → home → catalog → product,1
product → home → catalog → product → add_to_cart,1
catalog → product → other → product → noon → product,1
home → catalog → home → instagram → home → catalog → product,1
home → product → home → product → home → catalog → home,1
home → instagram → whatsapp,1
home → service → catalog → product → home,1
home → other → catalog → home,1
other → home,1
home → instagram → product → catalog → product,1
home → service → catalog → service → catalog,1
catalog → product → add_to_cart → catalog → product → add_to_cart,1
home → catalog → one_click → home,1
home → product → home → catalog → service → catalog → product → home → …,1
product → home → product → home → catalog → home → catalog → service → …,1
home → product → home → product → home → catalog,1
catalog → product → service → other → catalog → product,1
home → catalog → home → catalog → home → catalog → home → product,1
product → home → instagram → service,1
home → catalog → product → catalog → product → catalog → product,1
home → catalog → product → catalog → home → catalog,1
home → catalog → product → catalog → service → home,1
product → catalog → product → home → product → home → product → home → …,1
home → catalog → one_click → product,1
home → catalog → home → service → catalog → home,1
home → service → other → catalog → product,1
home → product → catalog → product → home → instagram,1
home → 404 → product,1
catalog → product → catalog → product → service,1
product → catalog → product → home → catalog → product → catalog → product → …,1
home → catalog → home → catalog → home → product → catalog → product,1
home → product → service → other,1
home → product → catalog → product → catalog → other → service,1
home → product → home → product → home → catalog → other → catalog,1
home → instagram → home → catalog → product,1
catalog → product → service → other → catalog,1
catalog → product → add_to_cart → product → catalog,1
home → thank_you → home,1
catalog → cart → service → cart → catalog,1
home → catalog → add_to_cart → product → home → product → home → 404 → …,1
catalog → product → add_to_cart,1
home → other → product → catalog,1
home → product → service → product → whatsapp → product,1
catalog → product → catalog → product → add_to_cart → one_click → thank_you → home → …,1
one_click → instagram → one_click → instagram → one_click → instagram → one_click → whatsapp → …,1
home → catalog → add_to_cart → one_click → thank_you → catalog → home → catalog → …,1
home → catalog → home → catalog → service → catalog → product → home,1
home → product → instagram → product,1
home → cart → home,1
product → home → add_to_cart → product,1
catalog → add_to_cart → catalog,1
catalog → home → service,1
