dimension,segment,period,users,visits,meaningful_visits,meaningful_rate,product_visits,product_rate,catalog_landing_visits,catalog_to_product_visits,catalog_to_product_rate,intent_visits,intent_rate,intent_confidence
campaign,bagsold,Все периоды,19,19,1,0.05263157894736842,1,0.05263157894736842,19,1,0.05263157894736842,0,0.0,Недостаточно данных
campaign,bagsnew),Все периоды,9,9,3,0.3333333333333333,3,0.3333333333333333,9,3,0.3333333333333333,0,0.0,Недостаточно данных
campaign,bio,Все периоды,5,6,4,0.6666666666666666,4,0.6666666666666666,2,0,0.0,0,0.0,Недостаточно данных
campaign,chat,Все периоды,4,4,0,0.0,0,0.0,4,0,0.0,0,0.0,Недостаточно данных
campaign,dubai_interests_1,Все периоды,4,4,0,0.0,0,0.0,4,0,0.0,0,0.0,Недостаточно данных
campaign,sag_organic,Все периоды,4,4,4,1.0,4,1.0,0,0,,0,0.0,Недостаточно данных
campaign,Dubai_rtrgt,Все периоды,3,3,0,0.0,0,0.0,3,0,0.0,0,0.0,Недостаточно данных
campaign,hlights),Все периоды,1,3,3,1.0,3,1.0,0,0,,0,0.0,Недостаточно данных
campaign,120240093969060764,Все периоды,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
campaign,Welcome — your 10% code is waiting_157793910829,Все периоды,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
campaign,bagetsilver,Все периоды,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
campaign,bagsold),Все периоды,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
campaign,promo2,Все периоды,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
campaign,{{adset.name}},Все периоды,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
campaign,(none),Низкий объём · июнь–июль,444,648,363,0.5601851851851852,225,0.3472222222222222,57,13,0.22807017543859648,12,0.018518518518518517,Недостаточно данных
campaign,Dubai_Wide_22.05,Низкий объём · июнь–июль,81,85,80,0.9411764705882353,80,0.9411764705882353,6,1,0.16666666666666666,0,0.0,Недостаточно данных
campaign,bio),Низкий объём · июнь–июль,53,64,35,0.546875,32,0.5,55,23,0.41818181818181815,1,0.015625,Недостаточно данных
